Age,Annual_Income,Employment_Years,Credit_Score,Loan_Amount,Loan_Term_Months,Debt_To_Income_Ratio,Previous_Defaults,Dependents,Home_Owner,Default
59,491442,35,649,708905,12,0.6,0,2,Yes,1
49,537347,14,841,313302,48,0.29,0,1,Yes,0
35,988630,29,755,282415,24,0.33,0,2,Yes,0
63,692788,14,513,502710,24,0.31,0,0,No,0
28,1307120,22,670,766560,36,0.2,0,1,Yes,0
41,1240291,14,597,988896,48,0.71,0,2,No,0
59,1302109,28,832,397456,24,0.61,0,0,No,0
39,525046,10,502,174503,24,0.23,0,1,Yes,0
43,947267,17,713,586455,36,0.12,0,2,No,0
31,656742,39,689,165199,36,0.31,0,4,No,0
31,898361,30,745,685936,60,0.34,0,3,Yes,0
44,558315,8,705,610890,24,0.05,0,3,Yes,0
56,1167846,21,845,838692,12,0.67,0,1,Yes,0
60,563920,10,753,763383,36,0.65,0,3,Yes,0
44,215828,16,532,534893,24,0.65,0,2,Yes,1
23,1410134,32,792,507794,36,0.61,0,1,Yes,0
42,932749,10,696,278184,24,0.56,0,0,No,0
22,479261,38,792,273194,60,0.49,0,4,Yes,0
44,751318,7,654,489682,36,0.72,0,2,No,0
64,626942,3,595,230701,48,0.55,0,2,No,0
50,801722,35,579,433046,60,0.49,1,0,No,0
58,1040834,18,764,382366,60,0.6,0,1,Yes,0
22,993733,23,743,648139,36,0.22,0,4,Yes,0
41,876118,17,632,494393,60,0.73,0,2,Yes,0
53,801575,32,466,748748,48,0.06,0,3,No,0
32,1123601,35,767,424556,24,0.5,0,1,Yes,1
42,222362,9,516,207669,60,0.1,0,0,No,0
64,575320,13,850,637265,36,0.65,0,1,Yes,0
45,506401,6,564,468993,24,0.73,0,1,Yes,1
69,1101877,11,681,432482,48,0.34,0,1,Yes,0
47,578272,21,698,394473,36,0.65,0,1,No,0
62,414213,26,709,497121,60,0.29,0,0,No,0
48,964798,36,705,432406,48,0.16,0,3,No,0
36,527375,10,690,629203,36,0.24,0,3,Yes,0
35,694782,35,645,684983,24,0.26,2,1,No,0
67,1514343,12,662,407397,48,0.49,0,2,Yes,0
64,1036141,31,627,999915,36,0.61,0,1,Yes,0
23,736687,7,689,357417,12,0.19,0,1,Yes,0
57,763661,6,539,504504,24,0.11,1,3,Yes,0
27,1072246,16,705,94418,24,0.21,0,0,Yes,0
41,998861,21,672,473882,36,0.26,0,2,No,0
29,822679,33,747,449108,12,0.25,0,1,Yes,0
59,831067,19,655,487596,24,0.2,0,3,Yes,0
38,356045,7,728,744242,36,0.38,0,2,Yes,0
24,292996,21,724,919855,24,0.65,0,3,No,0
45,746953,26,668,777011,24,0.12,0,1,Yes,0
34,610014,33,708,474324,60,0.65,0,0,Yes,0
29,975823,20,572,549198,48,0.4,1,0,Yes,0
46,859153,14,787,880782,36,0.51,0,3,Yes,0
22,568167,4,636,249717,60,0.62,0,1,No,0
40,848959,37,665,696223,24,0.26,0,1,Yes,0
48,674530,16,595,277993,36,0.72,0,1,Yes,0
67,1419980,7,618,785778,36,0.11,1,1,No,1
